Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
2013,MIN,"2,477,644","30,588",28.3,28.3,101,102,0,2,7,"$63,042,500 ",3:06,Gardenhire,,,
2013,NYM,"2,135,657","26,366",28.3,29.1,94,95,0,2,7,"$69,425,860 ",3:08,Collins,,,
2013,NYY,"3,279,589","40,489",31.9,31.8,100,100,2,2,17,"$246,534,750 ",3:05,Girardi,,,
2013,OAK,"1,809,302","22,337",28.3,28.3,98,97,0,2,15,"$69,440,000 ",3:05,Melvin,,,
2013,PHI,"3,012,403","37,190",30,28.7,100,100,1,2,10,"$150,860,000 ",2:59,Manuel and Sandberg,,,
2013,PIT,"2,256,862","27,862",27.9,28.7,95,95,0,5,19,"$99,230,000 ",3:06,Hurdle,,,
2013,SDP,"2,166,691","26,749",28.1,28.8,91,91,0,1,11,"$65,988,600 ",3:00,Black,,,
2013,SEA,"1,761,546","21,747",28.6,28,92,92,0,2,8,"$78,887,000 ",3:04,Wedge,,,
2013,SFG,"3,369,106","41,087",28.7,29.6,93,92,0,4,12,"$139,845,667 ",3:05,Bochy,,,
2013,STL,"3,369,769","41,602",28.7,26.9,101,100,0,6,15,"$112,583,000 ",3:01,Matheny,,,
2013,TBR,"1,510,300","18,646",29.5,29,97,96,0,2,11,"$71,163,500 ",3:11,Maddon,,,
2013,TEX,"3,178,273","38,759",29.6,27.9,103,103,0,3,16,"$139,261,200 ",3:04,Washington,,,
2013,TOR,"2,536,562","31,316",29,30.9,102,103,0,4,12,"$124,517,800 ",2:55,Gibbons,,,
2013,WSN,"2,652,422","32,746",27.7,27.7,103,101,0,2,14,"$112,493,250 ",2:57,Johnson,,,
2012,ARI,"2,177,617","26,884",28.3,27.4,103,103,0,1,13,"$67,069,833 ",2:58,Gibson,,,
2012,ATL,"2,420,171","29,879",28.5,27.6,102,101,1,4,16,"$86,208,000 ",2:55,Gonzalez,,,
2012,BAL,"2,102,240","25,954",28,27.6,102,103,1,3,16,"$77,949,000 ",3:00,Showalter,,,
2012,BOS,"3,043,003","37,568",29.4,28.7,104,103,0,1,17,"$110,386,000 ",3:09,Valentine,,,
2012,CHC,"2,882,756","35,590",27.8,27.9,101,103,0,2,11,"$86,159,366 ",2:58,Sveum,,,
